,left,right
836,16753901,14328512
837,16782830,9469519
838,16799809,16369928
839,16799939,15676571
840,16838915,8544824
841,16846805,18028397
842,16848475,17980792
843,16848497,9798791
844,16848587,14753815
845,16851496,16339338
846,16851718,9097065
847,16851791,16340461
848,16852589,6610913
849,16852622,16950767
850,16856369,4185530
851,16856617,16561429
852,16868923,17013073
853,16883909,4234009
854,16886842,10784285
855,16906721,5590611
856,16928740,15560623
857,16931001,8709865
858,16933362,4234016
859,16935790,11359482
860,16937395,9519425
861,16937799,17654991
862,16937815,13411525
863,16950097,4847079
864,16950115,6609380
865,16950121,4849988
866,16950321,4127911
867,16952642,6155577
868,16952648,5900426
869,16952671,6154200
870,16952691,5052370
871,16959698,17658907
872,16961482,10403609
873,16977881,9796812
874,16058860,11813287
875,16978882,14127447
876,16985194,15068806
877,16992171,17356024
878,17000062,17755491
879,17016974,4022539
880,17022668,12474164
881,17038587,8065771
882,17047087,7431625
883,17053270,5319633
884,17062823,16393165
885,17075832,14039007
886,17086412,17362538
887,17087885,17324711
888,17102002,1065967
889,17105218,9067063
890,17105842,13849274
891,17105977,8970595
892,17108278,9051500
893,17109286,6653450
894,17110007,6188181
895,17110024,9037152
896,17110189,6182848
897,17140424,9753530
898,17147698,8094859
899,17150791,8712361
900,17165286,13046847
901,17165621,9422291
902,17165755,13727202
903,17170215,10660512
904,17176767,17176781
905,17176808,17176819
906,17176866,17176882
907,17176911,4575178
908,17177005,8019816
909,17177103,17177115
910,17177419,4227880
911,17223643,3251140
912,17223685,8880781
913,17237305,14948339
914,17244655,17360593
915,17276867,6611100
916,17277623,10013517
917,17280216,4337398
918,17295912,16353832
919,17300165,9848760
920,17306107,6111289
921,17315288,5326407
922,17321919,4215611
923,17340955,15605297
924,17352824,13137623
925,17354392,15636958
926,17354414,3021609
927,17355745,16158918
928,17355757,15617305
929,17356442,16443509
930,17356450,17355872
931,17356454,2557644
932,17356467,20242957
933,17358864,13842372
934,17358891,19190681
935,17359101,865151
936,17359111,16316973
937,17359133,869360
938,17359501,13763548
939,17360010,15638906
940,17360022,9565674
941,17360030,15636411
942,17360034,17378455
943,17360038,17378483
944,17360042,15656223
945,9718223,9856062
946,17360070,15656826
947,17360076,15655801
948,17360254,4393350
949,17360262,14758420
950,17360266,14755393
951,17360282,14754777
952,17360286,17360225
953,17360296,14757992
954,17360404,4390116
955,17361757,12813847
956,17373283,10339991
957,17383431,9532295
958,17414715,8247641
959,17420035,8705088
960,17423125,5559657
961,17423412,13038489
962,17430685,20106468
963,17434825,16485079
964,17448356,13675374
965,17454636,15467736
966,17473163,16571210
967,17484564,17335266
968,17513284,17361566
969,17557290,10946002
970,17639784,17438424
971,17641913,13429045
972,17696578,16260741
973,17728571,10221622
974,17728605,16463097
975,17728632,17327188
976,17728695,10367190
977,17728723,13084891
978,17728730,17629213
979,17728781,13644685
980,17728922,9234420
981,17729020,15684934
982,17729088,9637388
983,17729110,16399845
984,17729161,8313802
985,17729167,17324637
986,17729195,5545085
987,17729347,20479904
988,17729410,9161929
989,17729424,8821758
990,17729888,17658927
991,17729973,10870424
992,17732031,11081239
993,17732076,17378475
994,17732085,8698941
995,17732256,17656886
996,17732270,6125806
997,17732291,17659219
998,17732311,5995125
999,17732334,16347786
1000,17732346,17378648
1001,17732791,15334461
1002,17736755,15964206
1003,17740547,13580849
1004,17743170,13858824
1005,17746794,18720819
1006,17769815,16690648
1007,17776906,4101295
1008,17776982,6554358
1009,17777981,16685117
1010,17804729,11050498
1011,17809869,17654519
1012,17813457,17083341
1013,17813499,10785260
1014,17814107,10167116
1015,17844900,18598859
1016,17927604,11605567
1017,17951049,10263287
1018,17962513,8842220
1019,17975547,15018449
1020,18023286,9753494
1021,18035063,17937986
1022,18035864,4411688
1023,18058644,8939384
1024,18058793,14588375
1025,18062678,7065182
1026,18076102,17654514
1027,18087179,17587452
1028,18088813,17660233
1029,18099401,5975584
1030,18111410,4876839
1031,18123575,17543765
1032,18149325,14757050
1033,18267838,4173633
1034,18305433,17587730
1035,18305476,13007383
1036,18412747,17336347
1037,18440675,12335381
1038,18485293,17647621
1039,18500915,16846902
1040,18500988,14334367
1041,18501001,1805669
1042,18527962,19508873
1043,18538744,11362334
1044,18551732,8161148
1045,18566361,16471422
1046,18566501,15588389
1047,18568094,17941609
1048,18597845,15553218
1049,18648531,13665529
1050,18656202,18655517
1051,18740553,3814635
1052,19017386,8127390
1053,19045334,9585036
1054,19051762,17913032
1055,17351780,19054481
1056,19088042,8717042
1057,19091995,18302931
1058,19101351,3848843
1059,19166349,13167730
1060,19175973,4227831
1061,19268007,13411394
1062,19298625,16154290
1063,19298644,17537254
1064,19361427,16950354
